KEY,Français,English
Cannon_des, "Canon: classique et fiable, il tire des boulets explosifs ravageant\n les lignes ennemies","Cannon: classic and reliable, it shoots explosive bullets\n ravaging the enemy lines"
Crossbow_des,"Baliste: ancien modèle de defense, la baliste brise les \nformations ennemies en les traversant de part en part.","Ballista: old defense model, the ballista breaks the enemy\n formation by crossing them through and through."
Hammer_des,"Marteau: Oeuvre d'art ou outils meurtier? Les orcs ne feront pas\n la différence.","Hammer: Artwork or murderous tools? Orcs will not make a\n difference."
Cristal_des,"Cristal: le fleuron de la technologie, le laser decoupe en\n quelques instants le moindre ennemi","Crystal: the flagship of technology, the laser cut in a few\n moments the slightest enemy"
Projector_des,"Projecteur: un spot suffisamment puissant pour rendre vos\n ennemis aveugles, ou du moins les ralentir.","Projector: A spot powerful enough to make your enemies blind,\n or at least slow them down."
Fireworks_des,"Feu d'artifices : Recyclés des dernieres célébrations, ces feux\n d'artifices à la poudre noire ne manquent pas de piquants.","Fireworks: Recycled from the last celebrations, these fireworks\n with black powder do not lack of sharps."
regen_des,"Tourelle de régen': La ruine des équipes médicales, une tourelle\n qui fait leur boulot en continu.","Turret of regen': The ruin of the medical teams, a turret that\n does their job continuously."
Cannon,"Canon","Cannon"
CrossBow,"Baliste","Ballista"
Hammer,"Marteau","Hammer"
Cristal,"Cristal","Crystal"
Projector,"Projecteur","Projector"
Rocket,"Feu d'artifices","Fireworks"
Regen,"Régénération","Regen'"
Sword,"Epée","Sword"
Spear,"Lance","Spear"
Arc,"Bow","Arc"
Sword1,"Epée de base","Basic Sword"
Sword2,"Epée correcte", "Correct sword"
Sword3,"Epée de qualité","Quality sword"
Spear1,"Lance moisie","Molded lance"
Spear2,"Lance solide","Solid spear"
Spear3,"Lance supérieure","Superior Lance"
Spear4,"Lance magique","Magical Spear"
Spear5,"Lance arcanique","Arcane Spear"
Arc1,"Arc de base","Basic Arc"
Arc2,"Arc renforcé","Reinforced arch"
Arc3,"Arc composite","Composite arch"
Sword1_des,"Epée de base: fournie à chaque aspirant","Basic Sword: Provided to each Aspirant"
Sword2_des,"Epée correcte: bien plus tranchante et efficace", "Correct sword: much sharper and more effective"
Sword3_des,"Epée de qualité: oeuvre d'art réservée aux officiers","Quality sword: work of art reserved for officers"
Spear1_des,"Lance moisie: n'est pas assurée contre la casse","Molded lance: not insured against breakage"
Spear2_des,"Lance solide: basique mais performante","Solid spear: basic but powerful"
Spear3_des,"Lance supérieure: une pierre enchante l'ensemble","Superior Lance: a stone enchants the set"
Spear4_des,"Lance magique: ses dégats le sont aussi","Magical Spear: Its damage is also"
Spear5_des,"Lance arcanique: fait aussi le café","Arcane Spear: also makes coffee"
Arc1_des,"Arc de base: offre une bonne puissance de tir","Basic Arc: Provides good shooting power"
Arc2_des,"Arc renforcé: allonge améliorée","Reinforced arch: improved extension"
Arc3_des,"Arc composite: le summum de la qualité elfe","Composite arch: the ultimate in elf quality"
shop,"Boutique","Shop"
shop_des,"La boutique vous permet d'acheter des nouvelles tourelles et de nouvelles armes. Selectionnez votre item puis cliquez sur Acheter si vous avez les fonds suffisants.","The shop allows you to buy new turrets and new weapons. Select your item and click Buy if you have sufficient funds."
clickfordes,"Cliquez sur un item pour obtenir sa description.","Click on a item to get his description."
cost,"Coût: ","Cost: "
buy,"Acheter","Buy"
equip,"Equiper","Equip"
isequip,"Equipé","Equiped"
no_money,"Vous n'avez pas assez d'or !", "No enought golds !"
select_a,"Selectionnez une ","Select a "
turrets,"Tourelles","Turrets"
weapons,"Armes","Weapons"
nothing_sel,"Rien n'es sélectionner","Nothing selected"
upgrades,"Améliorations","Upgrades"
upgrade,"Améliorer","Upgrade"
this_turret_has,"Cette tourelle est de niveau : ","This turret has level : "
histoire,"Mode Histoire","Story Mode"
endless,"Mode Sans Fin","Endless Mode"
endless_des,"Mode Sans Fin : Vagues infinies d'orcs \n \n Essayez de faire votre meilleur score !","Endless Mod: Endless waves of orcs\n \n Try to make your best score!"
gold_start,"or","gold"
left,"restants","left"
new,"Nouveau !","New !"
leave,"Quitter","Leave"
options,"Options","Settings"
reprendre,"Reprendre","Resume"
pause_menu,"Menu Pause","Pause Menu"
chat,"Pressez Entrer pour discuter","Press Enter to chat"
respawn,"Résurrection","Respawn"
dead,"Vous êtes mort","You died"
Level,"Niveau ","Level "
connexion,"Connexion","Connection"
offiline,"Hors Ligne","OffLine"
single,"Un Joueur","Single Player"
multi,"Deux Joueurs","Multi Player"
player,"Joueur","Player"
reset,"Réinitialise","Reset"
skip,"Suivant","Skip"
select,"Selection des niveaux","Level selection"
space,"Appuyez sur Espace pour jouer","Press Space to Continue"
tuto_des,"Tutoriel: \nAvant de se lancer dans l'aventure à l'assaut des orcs, veillez à maîtriser les bases d'ElvesMustLive grâce à ce tutoriel\n","Tutorial: Before embarking on the orcs' assault adventure, be sure to master the basics of ElvesMustLive with this tutorial"
niv1_des,"Niveau 1: \nPar une après-midi d'automne au poste de garde ouest d'Argedhen, des orcs surgissent de nulle part et foncent vers la cité. Pris au dépourvu, vous devez donner le temps à la ville de rassembler ses troupes et d'organiser ses défenses. Courage! les renforts arrivent!\n","During an autumn afternoon at the west guard post of Argedhen, orcs spring up out of nowhere and head towards the city. Caught off guard, you must give the city time to gather its troops and organize its defenses. Courage! Reinforcements on their way!"
niv2_des,"Niveau 2:\nL'attaque n'était pas isolé et la garde s'est fait massacré, le peuple fuit en masse vers le bastion de la montagne mais les orcs ne l'entendent pas de cette oreille. Protégez la colonne de refugiés pendant qu'ils traversent le col","Level 2:\n The attack was not isolated and the guard was massacred, the people fleeing en masse to the bastion of the mountain but the orcs do not hear it that way. Protect the refugee column as they pass through the collar"
